Entry No;Booking date;Ledger account;Amount;Posted by;Narration
c_132;02/01/2023;Revenue, 19% VAT;-132.49;David;Wheelbarrow
c_132;02/01/2023;VAT payable, 19%;-25.17;David;Wheelbarrow
c_196;02/01/2023;Trade receivables;19.64;Alice;Watering Can
c_196;02/01/2023;Revenue, 19% VAT;-16.5;Alice;Watering Can
c_196;02/01/2023;VAT payable, 19%;-3.14;Alice;Watering Can
c_324;02/01/2023;Trade receivables;35.46;David;Garden Shears
c_324;02/01/2023;Revenue, 19% VAT;-29.8;David;Garden Shears
c_324;02/01/2023;VAT payable, 19%;-5.66;David;Garden Shears
c_336;02/01/2023;Trade receivables;1467.13;David;Lawn Mower
c_336;02/01/2023;Revenue, 19% VAT;-1232.88;David;Lawn Mower
c_336;02/01/2023;VAT payable, 19%;-234.25;David;Lawn Mower
c_534;02/01/2023;Bank (Postbank) — main account;119.57;David;Hedge Trimmer
c_534;02/01/2023;Trade receivables;-119.57;David;Hedge Trimmer
c_546;02/01/2023;Bank (Postbank) — main account;19.64;Alice;Watering Can
c_546;02/01/2023;Trade receivables;-19.64;Alice;Watering Can
c_686;02/01/2023;Bank (Postbank) — main account;1467.13;David;Lawn Mower
c_686;02/01/2023;Trade receivables;-1467.13;David;Lawn Mower
c_7;02/01/2023;Trade receivables;157.66;David;Wheelbarrow
c_7;02/01/2023;Revenue, 19% VAT;-132.49;David;Wheelbarrow
c_7;02/01/2023;VAT payable, 19%;-25.17;David;Wheelbarrow
c_78;02/01/2023;Trade receivables;366.78;Alice;Lawn Mower
c_78;02/01/2023;Revenue, 19% VAT;-308.22;Alice;Lawn Mower
c_78;02/01/2023;VAT payable, 19%;-58.56;Alice;Lawn Mower
f_111;02/01/2023;Cost of merchandise, 19% input tax;220.0;Fred;Garden Hose
f_111;02/01/2023;Deductible input tax, 19%;41.8;Fred;Garden Hose
f_111;02/01/2023;Trade payables;-261.8;Fred;Garden Hose
f_162;02/01/2023;Cost of merchandise, 19% input tax;216.72;Charlie;Garden Shears
f_162;02/01/2023;Deductible input tax, 19%;41.18;Charlie;Garden Shears
f_162;02/01/2023;Trade payables;-257.9;Charlie;Garden Shears
f_198;02/01/2023;Cost of merchandise, 19% input tax;320.0;Bob;Garden Hose
f_198;02/01/2023;Deductible input tax, 19%;60.8;Bob;Garden Hose
f_198;02/01/2023;Trade payables;-380.8;Bob;Garden Hose
f_328;02/01/2023;Trade payables;429.83;Charlie;Garden Shears
f_328;02/01/2023;Bank (Postbank) — main account;-429.83;Charlie;Garden Shears
f_351;02/01/2023;Trade payables;38.22;Fred;Rake
f_351;02/01/2023;Bank (Postbank) — main account;-38.22;Fred;Rake
f_394;02/01/2023;Trade payables;181.0;Fred;Shovel
f_394;02/01/2023;Bank (Postbank) — main account;-181.0;Fred;Shovel
g_115;02/01/2023;Cost of merchandise, 19% input tax;1168.2;Charlie;Leaf Blower
g_115;02/01/2023;Deductible input tax, 19%;221.96;Charlie;Leaf Blower
g_115;02/01/2023;Trade payables;-1390.16;Charlie;Leaf Blower
g_28;02/01/2023;Cost of merchandise, 19% input tax;389.4;Bob;Leaf Blower
g_28;02/01/2023;Deductible input tax, 19%;73.99;Bob;Leaf Blower
g_28;02/01/2023;Trade payables;-463.39;Bob;Leaf Blower
g_41;02/01/2023;Cost of merchandise, 19% input tax;361.2;David;Garden Shears
g_41;02/01/2023;Deductible input tax, 19%;68.63;David;Garden Shears
g_41;02/01/2023;Trade payables;-429.83;David;Garden Shears
x_1;02/01/2023;Salaries;2051.42;Alice;Salary Max January
x_1;02/01/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Max January
x_10;02/01/2023;Salaries;1880.65;Alice;Salary Charlie January
x_10;02/01/2023;Bank (Postbank) — main account;-1880.65;Alice;Salary Charlie January
x_13;02/01/2023;Salaries;1880.65;Alice;Salary David January
x_13;02/01/2023;Bank (Postbank) — main account;-1880.65;Alice;Salary David January
x_4;02/01/2023;Salaries;2051.42;Alice;Salary Alice January
x_4;02/01/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Alice January
x_7;02/01/2023;Salaries;2051.42;Alice;Salary Bob January
x_7;02/01/2023;Bank (Postbank) — main account;-2051.42;Alice;Salary Bob January
a_381;03/01/2023;Cost of merchandise, 19% input tax;110.0;Max;Watering Can
a_381;03/01/2023;Deductible input tax, 19%;20.9;Max;Watering Can
a_381;03/01/2023;Trade payables;-130.9;Max;Watering Can
a_432;03/01/2023;Cost of merchandise, 19% input tax;1218.0;David;Hedge Trimmer
a_432;03/01/2023;Deductible input tax, 19%;231.42;David;Hedge Trimmer
a_432;03/01/2023;Trade payables;-1449.42;David;Hedge Trimmer
a_443;03/01/2023;Cost of merchandise, 19% input tax;778.8;Max;Leaf Blower
a_443;03/01/2023;Deductible input tax, 19%;147.97;Max;Leaf Blower
a_443;03/01/2023;Cash-in-hand;-926.77;Max;Leaf Blower
b_147;03/01/2023;Cost of merchandise, 19% input tax;16.9;Max;Shovel
b_147;03/01/2023;Deductible input tax, 19%;3.21;Max;Shovel
b_147;03/01/2023;Trade payables;-20.11;Max;Shovel
b_182;03/01/2023;Cost of merchandise, 19% input tax;64.9;Max;Leaf Blower
b_182;03/01/2023;Deductible input tax, 19%;12.33;Max;Leaf Blower
b_182;03/01/2023;Trade payables;-77.23;Max;Leaf Blower
b_261;03/01/2023;Cost of merchandise, 19% input tax;16.06;Alice;Rake
b_261;03/01/2023;Deductible input tax, 19%;3.05;Alice;Rake
b_261;03/01/2023;Trade payables;-19.11;Alice;Rake
b_476;03/01/2023;Trade payables;20.11;Alice;Shovel
b_476;03/01/2023;Cash-in-hand;-20.11;Alice;Shovel
c_104;03/01/2023;Trade receivables;2.44;Alice;Gardening Gloves
c_104;03/01/2023;Revenue, 19% VAT;-2.05;Alice;Gardening Gloves
c_104;03/01/2023;VAT payable, 19%;-0.39;Alice;Gardening Gloves
c_252;03/01/2023;Trade receivables;366.78;Max;Lawn Mower
c_252;03/01/2023;Revenue, 19% VAT;-308.22;Max;Lawn Mower
c_252;03/01/2023;VAT payable, 19%;-58.56;Max;Lawn Mower
c_588;03/01/2023;Bank (Postbank) — main account;1467.13;Bob;Lawn Mower
c_588;03/01/2023;Trade receivables;-1467.13;Bob;Lawn Mower
i_10;03/01/2023;Trade receivables;119.57;Bob;Hedge Trimmer
i_10;03/01/2023;Revenue, 19% VAT;-100.48;Bob;Hedge Trimmer
i_10;03/01/2023;VAT payable, 19%;-19.09;Bob;Hedge Trimmer
x_16;03/01/2023;Rent — immovable property;22500.0;Alice;Rent January
x_16;03/01/2023;Bank (Postbank) — main account;-22500.0;Alice;Rent January
a_200;04/01/2023;Cost of merchandise, 19% input tax;730.8;Max;Hedge Trimmer
a_200;04/01/2023;Deductible input tax, 19%;138.85;Max;Hedge Trimmer
a_200;04/01/2023;Trade payables;-869.65;Max;Hedge Trimmer
a_249;04/01/2023;Cost of merchandise, 19% input tax;33.8;David;Shovel
a_249;04/01/2023;Deductible input tax, 19%;6.42;David;Shovel
a_249;04/01/2023;Trade payables;-40.22;David;Shovel
a_255;04/01/2023;Cost of merchandise, 19% input tax;338.0;Alice;Shovel
a_255;04/01/2023;Deductible input tax, 19%;64.22;Alice;Shovel
a_255;04/01/2023;Trade payables;-402.22;Alice;Shovel
a_313;04/01/2023;Cost of merchandise, 19% input tax;101.4;Alice;Shovel
a_313;04/01/2023;Deductible input tax, 19%;19.27;Alice;Shovel
a_313;04/01/2023;Trade payables;-120.67;Alice;Shovel
a_414;04/01/2023;Cost of merchandise, 19% input tax;21.08;Bob;Gardening Gloves
a_414;04/01/2023;Deductible input tax, 19%;4.01;Bob;Gardening Gloves
a_414;04/01/2023;Trade payables;-25.09;Bob;Gardening Gloves
a_458;04/01/2023;Cost of merchandise, 19% input tax;3549.2;Max;Lawn Mower
a_458;04/01/2023;Deductible input tax, 19%;674.35;Max;Lawn Mower
a_458;04/01/2023;Trade payables;-4223.55;Max;Lawn Mower
a_755;04/01/2023;Trade payables;402.22;Alice;Shovel
a_755;04/01/2023;Bank (Postbank) — main account;-402.22;Alice;Shovel
a_914;04/01/2023;Trade payables;25.09;Bob;Gardening Gloves
a_914;04/01/2023;Bank (Postbank) — main account;-25.09;Bob;Gardening Gloves
b_314;04/01/2023;Cost of merchandise, 19% input tax;16.9;Alice;Shovel
b_314;04/01/2023;Deductible input tax, 19%;3.21;Alice;Shovel
b_314;04/01/2023;Trade payables;-20.11;Alice;Shovel
b_547;04/01/2023;Trade payables;20.11;Max;Shovel
b_547;04/01/2023;Cash-in-hand;-20.11;Max;Shovel
b_582;04/01/2023;Trade payables;77.23;Max;Leaf Blower
b_582;04/01/2023;Cash-in-hand;-77.23;Max;Leaf Blower
b_661;04/01/2023;Trade payables;19.11;Alice;Rake
b_661;04/01/2023;Cash-in-hand;-19.11;Alice;Rake
b_714;04/01/2023;Trade payables;20.11;Alice;Shovel
b_714;04/01/2023;Cash-in-hand;-20.11;Alice;Shovel
c_19;04/01/2023;Trade receivables;127.44;David;Leaf Blower
c_19;04/01/2023;Revenue, 19% VAT;-107.09;David;Leaf Blower
c_19;04/01/2023;VAT payable, 19%;-20.35;David;Leaf Blower
c_238;04/01/2023;Trade receivables;1467.13;Bob;Lawn Mower
c_238;04/01/2023;Revenue, 19% VAT;-1232.88;Bob;Lawn Mower
c_238;04/01/2023;VAT payable, 19%;-234.25;Bob;Lawn Mower
c_428;04/01/2023;Bank (Postbank) — main account;366.78;Alice;Lawn Mower
c_428;04/01/2023;Trade receivables;-366.78;Alice;Lawn Mower
c_83;04/01/2023;Trade receivables;39.27;Max;Garden Hose
c_83;04/01/2023;Revenue, 19% VAT;-33.0;Max;Garden Hose
c_83;04/01/2023;VAT payable, 19%;-6.27;Max;Garden Hose
f_128;04/01/2023;Cost of merchandise, 19% input tax;361.2;Charlie;Garden Shears
f_128;04/01/2023;Deductible input tax, 19%;68.63;Charlie;Garden Shears
f_128;04/01/2023;Trade payables;-429.83;Charlie;Garden Shears
f_194;04/01/2023;Cost of merchandise, 19% input tax;152.1;Fred;Shovel
f_194;04/01/2023;Deductible input tax, 19%;28.9;Fred;Shovel
f_194;04/01/2023;Trade payables;-181.0;Fred;Shovel
f_26;04/01/2023;Cost of merchandise, 19% input tax;140.0;Bob;Watering Can
f_26;04/01/2023;Deductible input tax, 19%;26.6;Bob;Watering Can
f_26;04/01/2023;Trade payables;-166.6;Bob;Watering Can
f_377;04/01/2023;Trade payables;217.41;Fred;Hedge Trimmer
f_377;04/01/2023;Bank (Postbank) — main account;-217.41;Fred;Hedge Trimmer
g_178;04/01/2023;Trade payables;463.39;Bob;Leaf Blower
g_178;04/01/2023;Cash-in-hand;-463.39;Bob;Leaf Blower
g_214;04/01/2023;Trade payables;382.23;Fred;Rake
g_214;04/01/2023;Cash-in-hand;-382.23;Fred;Rake
h_51;04/01/2023;Trade receivables;177.31;Fred;Garden Shears
h_51;04/01/2023;Revenue, 19% VAT;-149.0;Fred;Garden Shears
h_51;04/01/2023;VAT payable, 19%;-28.31;Fred;Garden Shears
a_283;05/01/2023;Cost of merchandise, 19% input tax;162.54;David;Garden Shears
a_283;05/01/2023;Deductible input tax, 19%;30.88;David;Garden Shears
a_283;05/01/2023;Trade payables;-193.42;David;Garden Shears
a_330;05/01/2023;Cost of merchandise, 19% input tax;234.78;Alice;Garden Shears
a_330;05/01/2023;Deductible input tax, 19%;44.61;Alice;Garden Shears
a_330;05/01/2023;Trade payables;-279.39;Alice;Garden Shears
a_564;05/01/2023;Trade payables;889.17;Bob;Lawn Mower
a_564;05/01/2023;Bank (Postbank) — main account;-889.17;Bob;Lawn Mower
a_813;05/01/2023;Trade payables;120.67;Alice;Shovel
a_813;05/01/2023;Bank (Postbank) — main account;-120.67;Alice;Shovel
a_928;05/01/2023;Trade payables;344.01;Alice;Rake
a_928;05/01/2023;Bank (Postbank) — main account;-344.01;Alice;Rake
b_185;05/01/2023;Cost of merchandise, 19% input tax;10.0;Max;Watering Can
b_185;05/01/2023;Deductible input tax, 19%;1.9;Max;Watering Can
b_185;05/01/2023;Trade payables;-11.9;Max;Watering Can
b_221;05/01/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_221;05/01/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_221;05/01/2023;Trade payables;-222.29;Alice;Lawn Mower
b_794;05/01/2023;Trade payables;77.23;Bob;Leaf Blower
b_794;05/01/2023;Cash-in-hand;-77.23;Bob;Leaf Blower
c_147;05/01/2023;Trade receivables;119.57;Bob;Hedge Trimmer
c_147;05/01/2023;Revenue, 19% VAT;-100.48;Bob;Hedge Trimmer
c_147;05/01/2023;VAT payable, 19%;-19.09;Bob;Hedge Trimmer
f_177;05/01/2023;Cost of merchandise, 19% input tax;182.7;Fred;Hedge Trimmer
f_177;05/01/2023;Deductible input tax, 19%;34.71;Fred;Hedge Trimmer
f_177;05/01/2023;Trade payables;-217.41;Fred;Hedge Trimmer
f_204;05/01/2023;Trade payables;1390.16;Charlie;Leaf Blower
f_204;05/01/2023;Bank (Postbank) — main account;-1390.16;Charlie;Leaf Blower
f_398;05/01/2023;Trade payables;380.8;Bob;Garden Hose
f_398;05/01/2023;Bank (Postbank) — main account;-380.8;Bob;Garden Hose
f_4;05/01/2023;Cost of merchandise, 19% input tax;1168.2;Charlie;Leaf Blower
f_4;05/01/2023;Deductible input tax, 19%;221.96;Charlie;Leaf Blower
f_4;05/01/2023;Trade payables;-1390.16;Charlie;Leaf Blower
g_45;05/01/2023;Cost of merchandise, 19% input tax;234.78;Fred;Garden Shears
g_45;05/01/2023;Deductible input tax, 19%;44.61;Fred;Garden Shears
g_45;05/01/2023;Trade payables;-279.39;Fred;Garden Shears
g_70;05/01/2023;Cost of merchandise, 19% input tax;18.6;Fred;Gardening Gloves
g_70;05/01/2023;Deductible input tax, 19%;3.53;Fred;Gardening Gloves
g_70;05/01/2023;Trade payables;-22.13;Fred;Gardening Gloves
i_60;05/01/2023;Cash-in-hand;119.57;Bob;Hedge Trimmer
i_60;05/01/2023;Trade receivables;-119.57;Bob;Hedge Trimmer
x_17;05/01/2023;Gas, electricity, water;1383.22;Alice;Utilities January
x_17;05/01/2023;Deductible input tax, 19%;262.81;Alice;Utilities January
x_17;05/01/2023;Bank (Postbank) — main account;-1646.03;Alice;Utilities January
a_274;06/01/2023;Cost of merchandise, 19% input tax;259.6;Max;Leaf Blower
a_274;06/01/2023;Deductible input tax, 19%;49.32;Max;Leaf Blower
a_274;06/01/2023;Trade payables;-308.92;Max;Leaf Blower
a_465;06/01/2023;Cost of merchandise, 19% input tax;20.0;Bob;Garden Hose
a_465;06/01/2023;Deductible input tax, 19%;3.8;Bob;Garden Hose
a_465;06/01/2023;Trade payables;-23.8;Bob;Garden Hose
a_700;06/01/2023;Trade payables;869.65;Max;Hedge Trimmer
a_700;06/01/2023;Bank (Postbank) — main account;-869.65;Max;Hedge Trimmer
a_958;06/01/2023;Trade payables;4223.55;Max;Lawn Mower
a_958;06/01/2023;Bank (Postbank) — main account;-4223.55;Max;Lawn Mower
b_394;06/01/2023;Cost of merchandise, 19% input tax;64.9;Bob;Leaf Blower
b_394;06/01/2023;Deductible input tax, 19%;12.33;Bob;Leaf Blower
b_394;06/01/2023;Trade payables;-77.23;Bob;Leaf Blower
b_395;06/01/2023;Cost of merchandise, 19% input tax;10.0;David;Watering Can
b_395;06/01/2023;Deductible input tax, 19%;1.9;David;Watering Can
b_395;06/01/2023;Trade payables;-11.9;David;Watering Can
b_408;06/01/2023;Trade payables;77.23;David;Leaf Blower
b_408;06/01/2023;Cash-in-hand;-77.23;David;Leaf Blower
b_677;06/01/2023;Trade payables;222.29;Max;Lawn Mower
b_677;06/01/2023;Cash-in-hand;-222.29;Max;Lawn Mower
b_76;06/01/2023;Cost of merchandise, 19% input tax;16.9;Alice;Shovel
b_76;06/01/2023;Deductible input tax, 19%;3.21;Alice;Shovel
b_76;06/01/2023;Trade payables;-20.11;Alice;Shovel
b_8;06/01/2023;Cost of merchandise, 19% input tax;64.9;David;Leaf Blower
b_8;06/01/2023;Deductible input tax, 19%;12.33;David;Leaf Blower
b_8;06/01/2023;Trade payables;-77.23;David;Leaf Blower
c_184;06/01/2023;Trade receivables;119.57;David;Hedge Trimmer
c_184;06/01/2023;Revenue, 19% VAT;-100.48;David;Hedge Trimmer
c_184;06/01/2023;VAT payable, 19%;-19.09;David;Hedge Trimmer
f_192;06/01/2023;Cost of merchandise, 19% input tax;338.0;Bob;Shovel
f_192;06/01/2023;Deductible input tax, 19%;64.22;Bob;Shovel
f_192;06/01/2023;Trade payables;-402.22;Bob;Shovel
f_45;06/01/2023;Cost of merchandise, 19% input tax;373.6;Fred;Lawn Mower
f_45;06/01/2023;Deductible input tax, 19%;70.98;Fred;Lawn Mower
f_45;06/01/2023;Trade payables;-444.58;Fred;Lawn Mower
f_76;06/01/2023;Cost of merchandise, 19% input tax;426.3;David;Hedge Trimmer
f_76;06/01/2023;Deductible input tax, 19%;81.0;David;Hedge Trimmer
f_76;06/01/2023;Trade payables;-507.3;David;Hedge Trimmer
g_64;06/01/2023;Cost of merchandise, 19% input tax;321.2;Fred;Rake
g_64;06/01/2023;Deductible input tax, 19%;61.03;Fred;Rake
g_64;06/01/2023;Trade payables;-382.23;Fred;Rake
h_151;06/01/2023;Bank (Postbank) — main account;177.31;Fred;Garden Shears
h_151;06/01/2023;Trade receivables;-177.31;Fred;Garden Shears
a_943;07/01/2023;Trade payables;926.77;Alice;Leaf Blower
a_943;07/01/2023;Bank (Postbank) — main account;-926.77;Alice;Leaf Blower
a_749;08/01/2023;Trade payables;40.22;David;Shovel
a_749;08/01/2023;Bank (Postbank) — main account;-40.22;David;Shovel
a_133;09/01/2023;Cost of merchandise, 19% input tax;974.4;Bob;Hedge Trimmer
a_133;09/01/2023;Deductible input tax, 19%;185.14;Bob;Hedge Trimmer
a_133;09/01/2023;Trade payables;-1159.54;Bob;Hedge Trimmer
a_212;09/01/2023;Cost of merchandise, 19% input tax;90.3;Bob;Garden Shears
a_212;09/01/2023;Deductible input tax, 19%;17.16;Bob;Garden Shears
a_212;09/01/2023;Trade payables;-107.46;Bob;Garden Shears
a_324;09/01/2023;Cost of merchandise, 19% input tax;843.7;Fred;Leaf Blower
a_324;09/01/2023;Deductible input tax, 19%;160.3;Fred;Leaf Blower
a_324;09/01/2023;Trade payables;-1004.0;Fred;Leaf Blower
a_394;09/01/2023;Cost of merchandise, 19% input tax;803.0;Alice;Wheelbarrow
a_394;09/01/2023;Deductible input tax, 19%;152.57;Alice;Wheelbarrow
a_394;09/01/2023;Trade payables;-955.57;Alice;Wheelbarrow
a_428;09/01/2023;Cost of merchandise, 19% input tax;289.08;Alice;Rake
a_428;09/01/2023;Deductible input tax, 19%;54.93;Alice;Rake
a_428;09/01/2023;Trade payables;-344.01;Alice;Rake
a_64;09/01/2023;Cost of merchandise, 19% input tax;747.2;Bob;Lawn Mower
a_64;09/01/2023;Deductible input tax, 19%;141.97;Bob;Lawn Mower
a_64;09/01/2023;Trade payables;-889.17;Bob;Lawn Mower
a_783;09/01/2023;Trade payables;193.42;David;Garden Shears
a_783;09/01/2023;Bank (Postbank) — main account;-193.42;David;Garden Shears
a_881;09/01/2023;Trade payables;130.9;Max;Watering Can
a_881;09/01/2023;Bank (Postbank) — main account;-130.9;Max;Watering Can
b_150;09/01/2023;Cost of merchandise, 19% input tax;16.9;Max;Shovel
b_150;09/01/2023;Deductible input tax, 19%;3.21;Max;Shovel
b_150;09/01/2023;Trade payables;-20.11;Max;Shovel
b_166;09/01/2023;Cost of merchandise, 19% input tax;1.24;Bob;Gardening Gloves
b_166;09/01/2023;Deductible input tax, 19%;0.24;Bob;Gardening Gloves
b_166;09/01/2023;Trade payables;-1.48;Bob;Gardening Gloves
b_249;09/01/2023;Cost of merchandise, 19% input tax;16.9;Fred;Shovel
b_249;09/01/2023;Deductible input tax, 19%;3.21;Fred;Shovel
b_249;09/01/2023;Trade payables;-20.11;Fred;Shovel
b_270;09/01/2023;Cost of merchandise, 19% input tax;18.06;Alice;Garden Shears
b_270;09/01/2023;Deductible input tax, 19%;3.43;Alice;Garden Shears
b_270;09/01/2023;Trade payables;-21.49;Alice;Garden Shears
c_342;09/01/2023;Trade receivables;157.66;Bob;Wheelbarrow
c_342;09/01/2023;Revenue, 19% VAT;-132.49;Bob;Wheelbarrow
c_342;09/01/2023;VAT payable, 19%;-25.17;Bob;Wheelbarrow
c_433;09/01/2023;Bank (Postbank) — main account;39.27;Max;Garden Hose
c_433;09/01/2023;Trade receivables;-39.27;Max;Garden Hose
c_674;09/01/2023;Bank (Postbank) — main account;35.46;David;Garden Shears
c_674;09/01/2023;Trade receivables;-35.46;David;Garden Shears
f_151;09/01/2023;Cost of merchandise, 19% input tax;32.12;Charlie;Rake
f_151;09/01/2023;Deductible input tax, 19%;6.1;Charlie;Rake
f_151;09/01/2023;Trade payables;-38.22;Charlie;Rake
f_312;09/01/2023;Trade payables;190.4;Bob;Watering Can
f_312;09/01/2023;Bank (Postbank) — main account;-190.4;Bob;Watering Can
g_39;09/01/2023;Cost of merchandise, 19% input tax;17.36;David;Gardening Gloves
g_39;09/01/2023;Deductible input tax, 19%;3.3;David;Gardening Gloves
g_39;09/01/2023;Trade payables;-20.66;David;Gardening Gloves
i_17;09/01/2023;Trade receivables;39.27;Charlie;Garden Hose
i_17;09/01/2023;Revenue, 19% VAT;-33.0;Charlie;Garden Hose
i_17;09/01/2023;VAT payable, 19%;-6.27;Charlie;Garden Hose
i_97;09/01/2023;Cash-in-hand;157.66;Charlie;Wheelbarrow
i_97;09/01/2023;Trade receivables;-157.66;Charlie;Wheelbarrow
x_18;09/01/2023;Cleaning;590.37;Alice;Cleaning January
x_18;09/01/2023;Deductible input tax, 19%;112.17;Alice;Cleaning January
x_18;09/01/2023;Bank (Postbank) — main account;-702.54;Alice;Cleaning January
x_19;09/01/2023;Maintenance of operating premises;1054.46;Alice;Maintenance January
x_19;09/01/2023;Deductible input tax, 19%;200.35;Alice;Maintenance January
x_19;09/01/2023;Bank (Postbank) — main account;-1254.81;Alice;Maintenance January
a_175;10/01/2023;Cost of merchandise, 19% input tax;963.6;David;Wheelbarrow
a_175;10/01/2023;Deductible input tax, 19%;183.08;David;Wheelbarrow
a_175;10/01/2023;Trade payables;-1146.68;David;Wheelbarrow
a_965;10/01/2023;Trade payables;23.8;Bob;Garden Hose
a_965;10/01/2023;Bank (Postbank) — main account;-23.8;Bob;Garden Hose
a_993;10/01/2023;Trade payables;26.56;David;Gardening Gloves
a_993;10/01/2023;Bank (Postbank) — main account;-26.56;David;Gardening Gloves
b_25;10/01/2023;Cost of merchandise, 19% input tax;80.3;Max;Wheelbarrow
b_25;10/01/2023;Deductible input tax, 19%;15.26;Max;Wheelbarrow
b_25;10/01/2023;Trade payables;-95.56;Max;Wheelbarrow
b_327;10/01/2023;Cost of merchandise, 19% input tax;186.8;Alice;Lawn Mower
b_327;10/01/2023;Deductible input tax, 19%;35.49;Alice;Lawn Mower
b_327;10/01/2023;Trade payables;-222.29;Alice;Lawn Mower
b_550;10/01/2023;Trade payables;20.11;Max;Shovel
b_550;10/01/2023;Cash-in-hand;-20.11;Max;Shovel
b_670;10/01/2023;Trade payables;21.49;Alice;Garden Shears
b_670;10/01/2023;Cash-in-hand;-21.49;Alice;Garden Shears
c_100;10/01/2023;Trade receivables;35.46;Max;Garden Shears
c_100;10/01/2023;Revenue, 19% VAT;-29.8;Max;Garden Shears
c_100;10/01/2023;VAT payable, 19%;-5.66;Max;Garden Shears
c_450;10/01/2023;Bank (Postbank) — main account;35.46;Max;Garden Shears
c_450;10/01/2023;Trade receivables;-35.46;Max;Garden Shears
c_454;10/01/2023;Bank (Postbank) — main account;2.44;Alice;Gardening Gloves
c_454;10/01/2023;Trade receivables;-2.44;Alice;Gardening Gloves
c_497;10/01/2023;Bank (Postbank) — main account;119.57;Bob;Hedge Trimmer
c_497;10/01/2023;Trade receivables;-119.57;Bob;Hedge Trimmer
c_93;10/01/2023;Trade receivables;39.27;Max;Garden Hose
c_93;10/01/2023;Revenue, 19% VAT;-33.0;Max;Garden Hose
c_93;10/01/2023;VAT payable, 19%;-6.27;Max;Garden Hose
f_134;10/01/2023;Cost of merchandise, 19% input tax;3736.0;Fred;Lawn Mower
f_134;10/01/2023;Deductible input tax, 19%;709.84;Fred;Lawn Mower
f_134;10/01/2023;Trade payables;-4445.84;Fred;Lawn Mower
f_311;10/01/2023;Trade payables;261.8;Bob;Garden Hose
f_311;10/01/2023;Bank (Postbank) — main account;-261.8;Bob;Garden Hose
f_356;10/01/2023;Trade payables;860.01;Bob;Wheelbarrow
f_356;10/01/2023;Bank (Postbank) — main account;-860.01;Bob;Wheelbarrow
f_72;10/01/2023;Cost of merchandise, 19% input tax;160.0;Charlie;Garden Hose
f_72;10/01/2023;Deductible input tax, 19%;30.4;Charlie;Garden Hose
f_72;10/01/2023;Trade payables;-190.4;Charlie;Garden Hose
f_85;10/01/2023;Cost of merchandise, 19% input tax;150.0;Max;Watering Can
f_85;10/01/2023;Deductible input tax, 19%;28.5;Max;Watering Can
f_85;10/01/2023;Trade payables;-178.5;Max;Watering Can
g_220;10/01/2023;Trade payables;22.13;Fred;Gardening Gloves
g_220;10/01/2023;Cash-in-hand;-22.13;Fred;Gardening Gloves
g_60;10/01/2023;Cost of merchandise, 19% input tax;426.3;Charlie;Hedge Trimmer
g_60;10/01/2023;Deductible input tax, 19%;81.0;Charlie;Hedge Trimmer
g_60;10/01/2023;Trade payables;-507.3;Charlie;Hedge Trimmer
g_8;10/01/2023;Cost of merchandise, 19% input tax;186.8;Fred;Lawn Mower
